Name,Surname,Student ID,Birth Year,Phone Number,Enrollment Year,ASSIGN_1,ASSIGN_2,ASSIGN_3,ASSIGN_4,ASSIGN_5,ASSIGN_6,ASSIGN_7,ASSIGN_8,ASSIGN_9,ASSIGN_10,ASSIGN_11,ASSIGN_12,InClass_1,InClass_2,Final
Enrica,Balshen,0205101941,2009,(989) 3326040,1992,7,5,3,4,2,5,4,1,3,0,6,2,7,5,27
Barnabas,Crepin,6419157730,2011,(402) 5801442,2005,4,3,6,4,5,4,0,3,2,2,5,3,4,3,20
Gerek,Lidgerton,8819347911,1992,(143) 4136182,2012,3,3,5,5,1,4,6,4,1,7,3,4,3,6,94
Lyndel,Murdy,7410315318,1988,(778) 9606973,1993,5,5,5,5,4,1,6,0,5,7,5,3,0,8,41
Coriss,Merrigans,5331603696,1988,(524) 2074563,1992,6,0,1,3,1,5,5,0,0,6,2,0,5,7,40
Rollie,Passmore,0342341235,2007,(608) 2249986,2001,7,7,2,4,1,5,2,5,2,3,5,1,8,5,2
Jobey,Sotheron,3314203187,1992,(939) 1853919,2000,4,6,1,5,7,1,7,2,6,0,7,4,8,6,73
Nonie,Sickamore,2113361841,1992,(537) 5137899,2009,4,0,6,3,3,4,3,0,7,0,1,6,2,8,97
Barbi,Measor,8214371066,1992,(454) 6015470,2007,1,4,4,5,1,0,3,0,1,5,5,3,7,6,58
Katey,Rigeby,9203056378,2000,(213) 1408350,2009,4,4,1,0,2,7,3,6,7,3,6,1,1,6,5
Neils,Chittey,8208076112,2011,(500) 3372279,2007,6,0,6,3,4,4,2,4,2,7,5,7,5,1,54
Raymund,Turbitt,5646865530,1989,(398) 1420446,1993,1,1,6,0,0,2,7,2,6,0,5,1,8,8,54
Lorie,Screen,8157057922,1996,(797) 5103586,2006,5,6,7,6,1,3,5,6,7,5,6,2,0,4,83
Jinny,Pfeuffer,1186256478,1999,(866) 4523107,2000,7,7,3,2,5,0,6,1,5,4,5,1,6,1,63
Cullin,Penna,7615671922,2005,(367) 5274097,2003,4,1,6,7,0,0,3,5,0,5,7,5,4,0,27
Siusan,Cumine,8534559864,1991,(811) 9070488,1999,5,3,1,5,0,0,5,0,6,2,5,2,8,4,52
Nichole,Gorthy,8320473845,2010,(431) 7320424,1987,1,5,3,4,0,1,6,4,6,2,5,2,2,5,65
Harlen,Hasslocher,2052168990,2010,(479) 4205121,1994,0,0,0,1,6,6,2,2,5,4,2,5,5,8,66
Perren,Umpleby,9223911753,2001,(188) 3603451,1998,1,4,4,1,1,5,4,0,0,6,6,6,6,7,64
Valaree,Rembaud,9328976421,2001,(764) 7192286,2009,7,0,2,2,5,3,6,6,3,2,6,1,1,0,92
Cordy,Fessler,6868009488,1993,(520) 8859134,2010,5,6,3,5,7,3,7,2,0,0,6,7,1,6,2
Trenton,Claffey,8839594515,1995,(581) 6002340,2003,3,4,5,3,6,7,7,7,5,0,4,6,6,3,27
Mozes,Diffley,4923903651,2007,(261) 5210497,1968,5,0,1,6,0,2,6,1,3,2,3,1,5,3,33
Tootsie,Cleaveland,1598826859,2011,(417) 4663027,2005,3,7,7,0,5,4,4,2,1,4,4,2,0,2,60
Michail,Gentric,6305345317,2002,(201) 5214850,1988,5,5,0,6,0,0,5,6,0,5,0,0,1,8,53
Layney,Windybank,7245882061,2000,(625) 2668255,1995,0,1,0,5,0,4,6,1,7,5,7,5,4,1,41
Dominga,Pitts,1836396945,2008,(163) 9373897,1999,7,0,3,5,2,4,5,1,7,3,4,5,3,7,10
Abbott,Weighell,1152984489,2010,(584) 4457652,2005,2,0,5,2,1,7,5,6,1,0,1,2,4,3,78
Benni,Himsworth,2540746411,2001,(515) 8994533,1969,1,1,1,1,2,0,3,1,2,0,6,0,3,6,30
Thorndike,Sinyard,7489418879,2005,(948) 7128534,2006,6,6,3,3,2,1,7,3,6,0,3,6,7,4,74
Meredithe,Croci,8372237891,2009,(599) 5206816,1995,7,5,5,3,7,6,3,4,1,1,2,4,8,2,86
Issy,Wimbury,3976506850,1989,(949) 7221377,1993,2,7,5,0,5,3,3,4,6,1,4,7,0,1,23
Rossie,O' Clovan,7273513105,1993,(583) 8826050,2011,2,1,2,1,3,1,3,4,7,3,6,2,3,0,37
Malena,Brinicombe,6232025733,2002,(591) 3547181,2011,5,4,6,6,1,1,2,2,6,6,7,4,1,5,61
Joby,Forst,8604438343,1988,(665) 5767534,2011,7,0,1,0,5,5,5,1,5,1,5,3,0,6,9
Laural,Hiseman,5275067151,2004,(271) 7314704,2003,0,7,3,2,0,0,4,5,5,5,1,3,4,8,80
Silvester,Devenny,9603232092,2011,(646) 9716229,2002,5,2,7,7,4,5,4,0,2,6,6,6,3,4,18
Dorisa,Lanphier,8074796884,2011,(567) 1789737,2004,1,2,3,5,5,6,4,6,6,6,6,3,6,2,3
Leeann,Twigger,3434162291,1990,(840) 9174388,1999,0,1,7,7,7,2,3,2,3,7,4,5,0,1,37
Frannie,Greneham,2308848995,2010,(395) 9380656,2011,2,0,7,4,4,4,6,1,6,6,7,3,0,5,0
Meara,Dahle,9382929827,2012,(781) 6986598,2003,0,5,0,6,2,0,4,5,1,7,6,5,8,8,4
Gale,Clarae,1224315197,2001,(684) 2929660,1996,2,6,5,0,4,6,1,6,6,3,6,7,8,0,64
Christabel,Penritt,1850889074,2009,(452) 8636779,1995,4,6,6,4,6,2,1,6,2,7,1,4,0,8,9
Alley,Sandever,1713823101,1992,(239) 5567558,2006,4,5,4,7,0,2,0,7,6,6,0,7,8,7,63
Norma,Lepper,1089360320,2011,(918) 3941796,2006,0,0,4,4,1,0,5,2,4,5,3,4,2,5,74
Philomena,Gley,0110259882,1998,(696) 5470586,2012,7,2,7,7,4,1,4,3,3,1,2,6,3,3,70
Ammamaria,Kibbye,1476774218,2008,(830) 3636406,1997,1,3,1,6,7,4,2,0,3,3,1,1,5,6,33
Yoko,Zamorano,5029416234,2004,(554) 7736219,1990,0,3,2,7,5,0,7,2,2,3,5,2,1,7,72
Linnet,Roffey,6628440370,2006,(130) 3026014,1999,7,1,2,1,0,1,4,2,7,7,0,7,0,4,53
Latia,Cockran,4169355326,2011,(923) 2330433,2004,1,5,5,7,0,1,6,0,2,2,5,3,3,5,3
Codi,Bowshire,6742109068,2000,(810) 7246173,1992,6,7,3,0,2,7,3,2,7,6,2,6,0,4,84
Jude,Lean,1087272106,1997,(299) 3485145,2006,6,1,3,0,5,3,0,7,2,4,6,2,6,3,6
Ferris,Lott,9652473456,2007,(884) 4251259,1986,0,7,3,2,4,6,0,0,4,0,7,1,2,2,46
Theresita,Reely,3888147344,2005,(529) 6340252,1995,2,3,3,4,3,1,0,2,5,3,5,1,0,5,33
Pearce,Hew,2435042183,2001,(513) 5737395,2004,5,7,5,0,7,5,0,6,5,0,5,4,4,5,47
Morganica,Fuentes,9168403550,2001,(683) 4006540,1997,6,4,6,3,7,5,7,5,2,4,3,3,8,8,57
Lanna,Drews,9807693373,2011,(711) 2431343,1996,7,5,0,2,6,3,4,4,3,3,0,7,0,3,90
Daile,MacAnelley,5398690094,1999,(280) 1445685,2011,4,1,0,1,3,0,7,1,4,7,2,1,7,5,67
Leanna,Seals,9255875191,2009,(256) 7799161,1996,6,5,2,0,1,3,1,6,4,4,7,7,4,1,27
Kellen,Webling,3855738084,2000,(120) 3931333,2012,0,4,5,2,1,7,7,3,6,0,2,5,4,7,75
Ricky,Berni,2256797546,1995,(531) 9336097,2001,5,2,4,3,0,2,0,0,0,6,6,6,6,3,7
Malvin,Dorot,3183940396,2002,(274) 8655018,1997,3,1,6,5,0,3,3,4,3,6,0,3,7,0,86
Raleigh,Meachem,5338238861,2007,(568) 5092998,2010,5,0,4,2,1,4,6,4,5,1,7,2,1,8,54
Evelin,Goare,5457778746,1987,(775) 8541084,1965,7,7,7,1,2,6,7,0,1,2,6,7,8,2,63
Dallas,Compfort,0624269248,2010,(598) 1764830,2006,3,0,5,1,1,3,5,7,6,5,5,2,4,0,85
Tawnya,Van Weedenburg,3432012977,2000,(910) 1157200,2010,2,4,4,1,5,6,0,1,6,5,0,7,7,1,81
Prudi,Barrasse,3392325481,1994,(607) 4337751,2007,4,3,5,7,0,4,7,1,2,7,2,2,1,0,41
Dicky,Shulem,5644926184,2005,(922) 8983403,2001,0,5,3,2,5,7,0,0,2,1,5,5,0,7,0
Haleigh,Necolds,4667355956,2000,(153) 5814649,2001,4,4,7,6,5,5,0,4,4,5,4,6,0,4,17
Emogene,Hynard,8611294866,1987,(778) 7606456,1968,2,6,1,5,6,7,3,2,4,0,1,3,7,4,25
Jens,Banaszczyk,0530420104,1991,(119) 7297991,2005,1,4,0,2,3,4,4,1,3,5,5,1,8,1,97
Siward,Filippo,6252367370,1987,(443) 5324430,1992,2,2,2,0,6,3,7,0,4,5,3,3,7,8,62
Eulalie,Bentzen,7224321958,2007,(344) 9681509,2000,7,6,0,0,3,5,2,3,5,4,1,0,0,0,1
Josh,Adair,2472218621,2006,(901) 2488497,2004,3,4,7,1,0,4,3,1,1,0,0,2,3,2,62
Ardath,Whimpenny,4891563311,2005,(728) 6638130,1995,5,1,1,7,0,1,3,7,6,2,6,0,3,2,15
Ailyn,Lessmare,3612935100,1998,(806) 9751488,2004,4,6,4,7,3,6,1,6,7,0,5,5,1,2,11
Kat,Antoniottii,7885106691,2002,(798) 1896150,1993,3,0,2,2,7,0,1,1,3,5,6,7,1,6,5
Zacharie,Rome,7842907668,2010,(344) 4551146,1959,5,2,7,5,5,1,2,5,7,2,5,4,6,7,65
Emmeline,Henric,7807105674,2007,(925) 1743257,1995,0,6,7,5,4,1,0,1,3,4,6,3,8,3,34
Eulalie,Kalinsky,9334088060,2006,(557) 6957305,2012,6,4,6,7,5,7,6,0,4,3,4,5,0,4,87
Thorndike,Dennerly,5412678602,2006,(590) 7108696,1985,0,7,5,7,1,6,6,5,5,4,5,3,5,6,17
Chloette,Crepel,5390732952,1993,(380) 4849006,2012,7,1,7,1,5,7,7,6,6,1,6,1,6,4,49
Lynnelle,Artist,2303851319,1994,(326) 9192270,2009,6,0,3,6,2,1,5,2,3,0,2,3,4,1,21
Ferne,Elward,7531234289,2005,(501) 4591265,2009,6,0,6,7,4,6,3,4,4,6,1,7,8,4,37
Geordie,Mallam,6416881500,2010,(140) 4173706,1999,5,4,3,5,1,4,7,6,4,5,5,5,3,7,76
Katharina,Brangan,2791786465,2001,(668) 9503208,1985,0,7,1,2,0,7,3,6,7,5,6,1,2,3,64
Donelle,Brasse,0368586952,1992,(977) 2577516,1997,6,5,1,1,0,1,6,6,3,0,4,4,2,1,58
Alene,Ambrozik,6842641888,1993,(260) 2672794,1994,3,3,5,1,4,5,6,2,1,4,5,7,4,3,84
Alfie,Cassely,5218737879,2000,(892) 4285907,1997,0,1,2,1,1,3,5,4,3,1,5,0,2,1,94
Carrie,Boness,8221819069,2011,(275) 9000809,2000,7,0,2,4,2,2,0,2,1,0,4,5,3,3,94
Erminie,Osipov,3748106998,1984,(443) 4458148,2002,0,4,0,3,7,3,4,2,7,4,2,4,4,0,20
Ursuline,MacGuffog,6513914523,2009,(834) 7442822,1992,0,7,2,7,4,7,1,2,4,1,1,4,4,8,31
Seamus,Castelijn,4974290355,1989,(101) 3653396,2009,7,2,7,3,5,5,1,5,0,7,0,7,8,5,91
Bellanca,Bonallick,8697755557,2011,(501) 6776809,1999,3,4,0,0,2,4,3,5,2,5,7,6,0,5,27
Sheela,Balmann,3820569383,1988,(252) 8565942,2000,0,1,2,6,5,2,5,2,7,3,6,4,8,2,42
Alon,Maes,0394782267,1996,(470) 7192546,2007,2,1,4,7,0,0,4,2,2,0,7,2,3,1,97
Pace,Inskipp,5936179192,1998,(582) 9088615,1992,3,5,1,3,4,6,1,5,1,5,6,6,4,2,25
Yolanda,Ponde,9159247592,1994,(432) 8564503,2012,2,0,5,4,2,6,7,1,2,3,2,1,2,3,82
Darn,Chatelain,4489280866,2008,(500) 1884326,2004,6,0,0,2,2,7,0,3,1,2,6,5,1,8,42
Peadar,Rhule,3135460088,2006,(570) 6791722,1999,6,0,5,5,6,7,7,6,4,2,4,7,2,0,86
Roy,Castelluzzi,1027416845,2009,(365) 8670571,2003,6,0,5,6,1,3,4,4,5,0,0,3,3,7,89
Liv,Benadette,7108798905,1996,(658) 6626480,1994,7,0,4,2,5,2,4,1,7,0,2,6,7,7,90
Olenka,Takos,2908014432,2003,(352) 6736549,1999,4,1,7,4,0,3,5,0,2,7,4,5,1,2,19
Glyn,Hamerton,7372938864,1990,(359) 7133060,1995,2,5,6,7,7,3,3,7,5,4,4,4,6,3,41
Melany,Sikora,7972595127,2013,(893) 6528464,2010,1,1,6,2,1,6,6,1,3,0,3,1,1,8,26
Odelinda,Poone,7097822759,2007,(937) 9321314,2000,6,0,5,1,7,0,5,7,3,2,3,6,4,0,86
Dylan,Nairn,5709212229,2011,(602) 7617510,2003,6,6,6,6,1,1,0,3,3,5,4,4,7,0,88
Vivyanne,Rackam,1966016786,2011,(513) 9877959,2005,5,4,4,7,5,7,5,3,4,0,2,0,6,4,22
Jackie,Bulter,2239533730,1992,(713) 7396183,1998,6,6,1,7,4,2,7,4,7,4,2,3,4,7,82
Clerissa,Tillot,6240555045,2001,(979) 8500904,1999,4,1,4,1,1,7,6,7,5,4,3,1,0,3,90
Roderick,Dobrowski,8564906503,1993,(793) 9369900,2012,7,3,7,0,5,6,4,5,7,4,1,7,8,6,47
Carita,Bensley,3462155245,2010,(534) 5056481,1984,4,7,0,7,1,5,3,6,1,6,7,0,1,4,27
Hendrick,Duesberry,7371406389,1998,(978) 3486244,2006,6,4,5,2,6,3,1,5,1,3,1,4,2,2,85
Marita,Howard,9064415463,1999,(322) 8119142,1999,3,3,7,0,1,4,2,6,2,3,2,5,4,6,1
Gabe,Jaeggi,1165538768,1998,(731) 6484593,2004,7,0,4,4,3,0,7,1,0,3,5,7,0,5,72
Mart,Wooding,2646578571,2006,(707) 8965519,2008,7,7,4,0,4,0,4,0,5,3,6,6,1,3,0
Kit,Swainston,4983076328,2011,(137) 5107087,2009,7,5,2,2,5,0,1,1,2,2,3,4,3,3,96
Joli,Fippe,4269184116,1995,(935) 5471728,2002,5,0,1,4,6,0,4,5,7,7,1,6,4,6,71
Rene,Belham,4165766208,2003,(895) 3949007,2011,6,5,2,3,1,6,1,4,6,0,3,0,8,6,72
Jerrylee,Switland,4872686160,2006,(744) 4911079,1988,0,5,5,3,7,5,0,7,7,6,1,6,5,8,35
Irene,Clavering,4810947602,2003,(570) 5415518,2001,6,1,3,0,7,3,1,3,5,3,2,5,6,5,43
Jobey,Slimming,0535379595,1984,(763) 5684728,1992,1,4,2,4,7,6,7,5,3,2,0,3,2,0,42
Everard,Creamer,9497025173,1986,(336) 7989655,2010,7,1,2,0,4,3,5,7,0,1,1,1,7,4,19
Miranda,Keam,9853107457,2001,(859) 6067543,2003,0,6,2,5,5,6,0,0,5,5,0,2,5,4,53
Isaac,Smoote,2971705412,1997,(930) 6940152,1984,6,6,3,5,6,3,7,2,3,1,0,7,5,2,63
Estella,Farryan,3537975775,2012,(523) 1350895,2000,6,7,4,6,7,1,6,1,0,1,3,7,0,4,96
Wendye,Ribou,2269474473,1992,(459) 2341653,2013,5,0,2,3,7,2,4,7,4,6,4,1,5,2,66
Shell,Adams,7716271520,1993,(521) 4491810,2004,1,4,5,7,7,2,3,2,7,5,6,6,5,7,51
Rutherford,Keane,1802124411,2011,(600) 8431624,1999,3,6,3,5,2,2,7,1,4,2,1,5,0,0,64
Alleyn,Manketell,7374892284,2003,(359) 6515368,2002,2,5,3,6,0,7,1,6,6,3,0,0,2,2,59
Teddie,Caps,1014194474,1997,(587) 2114930,2006,1,3,1,0,1,1,4,0,5,6,2,2,0,8,37
Georgena,Foxhall,6581950327,2002,(377) 6901705,2003,5,4,3,6,1,5,3,0,0,3,1,6,1,5,21
Madeleine,Salvatore,0177931620,1997,(221) 3926035,2001,2,0,3,2,2,2,2,2,2,0,3,5,1,8,96
Darcy,Cadney,1249750504,1996,(526) 8829949,2001,4,2,0,5,3,6,0,7,7,6,6,6,8,0,98
Jerome,Mitkcov,0561180296,1992,(943) 8846798,2012,7,5,5,7,4,4,2,7,3,4,0,4,7,6,82
Enrika,Noblet,3236788747,1996,(979) 3263263,2012,4,3,5,5,4,2,6,5,1,1,7,5,1,1,11
Libbi,Boake,1061521915,2012,(207) 3854934,1997,3,4,1,6,6,7,7,7,6,6,3,6,0,4,85
Stanislas,Manna,6208342643,2008,(697) 2391711,2002,0,0,2,5,7,0,4,6,3,6,6,6,1,3,63
Anestassia,Hincham,9957161369,2009,(953) 1109531,2010,1,7,1,5,2,7,3,3,4,7,6,2,6,4,81
Dyan,Ackland,9788466915,2000,(482) 2263016,1994,7,6,1,6,6,7,3,0,7,7,4,3,2,1,19
Aymer,Dwire,6556655279,2008,(210) 7564241,2003,0,7,7,0,6,7,1,6,6,4,0,6,1,8,50
Johna,Tunney,7469591486,1997,(451) 2809671,1996,6,1,4,0,1,6,7,6,5,7,7,6,0,8,54
Fransisco,Dumberell,6349442466,1959,(209) 3221947,1996,5,2,5,0,1,3,1,5,6,0,2,4,4,8,0
Darb,Garnam,0232277524,1996,(114) 8224363,2002,0,1,6,5,0,0,7,7,1,1,6,5,0,2,39
Lurleen,Di Franceschi,6480505751,2008,(243) 8952056,1988,4,5,6,4,1,2,5,4,3,5,7,3,1,4,52
Bartholemy,Semmence,4681121711,1994,(931) 4138978,2010,1,7,5,2,7,7,6,3,3,4,3,3,1,6,43
Bartram,Mooreed,0298649373,1997,(870) 3286176,2006,3,7,6,3,4,7,5,7,5,2,5,1,0,0,96
Levi,Watton,4298445569,2012,(314) 6099470,2012,2,7,6,0,4,7,7,7,1,1,6,2,4,2,93
Adelaida,Renackowna,6996585163,2005,(630) 5575975,2002,0,1,4,3,5,7,4,5,3,4,2,3,3,8,37
Quinlan,Buckler,6667084997,2006,(295) 7536450,1994,5,1,1,6,0,0,2,5,3,1,3,3,4,2,20
Cassey,Gookey,9184574674,1999,(244) 4722255,2007,3,1,1,3,0,6,0,1,4,5,6,4,0,6,78
Latashia,Jales,3394735709,1992,(938) 9958689,2009,1,1,6,0,4,6,7,5,5,6,6,7,0,5,79
Kathy,Clemas,1814870326,1996,(154) 4413207,2000,7,0,1,4,7,3,6,0,1,6,3,4,8,6,5
Valli,Cooley,5902514479,2002,(654) 1029926,1996,7,2,2,5,6,0,7,6,0,5,3,2,5,0,93
Anjanette,Broxis,0215146239,2013,(764) 6969580,2011,0,2,3,1,6,4,7,0,3,6,5,7,4,7,37
Marlo,Thrustle,7467281129,2012,(310) 2153756,1988,5,4,4,6,6,1,1,4,5,6,0,4,8,8,69
Gal,Haslen,0249191032,2003,(598) 9233595,2004,0,6,7,6,1,0,3,1,1,4,6,2,4,0,35
Fernande,Keune,9093604414,1993,(953) 4910603,2001,7,0,4,4,4,1,2,1,4,4,7,3,4,4,95
Bert,Manie,9503231272,2011,(126) 9419325,2005,5,0,4,2,5,0,4,0,1,7,4,5,2,6,51
Rici,Brookwood,3560957710,2010,(493) 3762690,1985,1,0,4,5,0,3,1,5,5,6,3,5,3,3,20
Brett,Pautot,6166570694,2007,(569) 8340199,1989,3,4,4,7,0,4,7,6,2,2,7,6,6,0,30
Liz,Keyson,1886265186,2006,(529) 8586229,2009,2,2,0,2,4,1,3,1,7,4,3,0,1,3,65
Sally,Drinan,4826666381,1993,(829) 9997045,2008,6,3,3,5,3,5,3,1,2,2,1,4,0,4,56
Sheena,Sealy,4640138946,1996,(275) 9587653,1981,4,0,2,0,5,7,2,6,1,5,7,2,8,6,6
Egor,Frift,5564282523,1996,(125) 7344520,2008,0,1,6,3,2,5,6,6,1,0,3,3,2,4,6
Saleem,Popeley,7183860663,2007,(298) 5759646,1997,1,1,5,3,6,4,1,5,5,7,0,2,1,3,46
Rhiamon,Avis,7149825753,2009,(282) 1449772,2002,7,0,1,5,3,2,7,7,5,4,1,3,7,4,23
Vick,Meekins,4440178669,1993,(114) 1964544,2004,2,1,2,6,2,3,2,5,1,4,2,0,8,7,81
Rene,Fermor,2179130228,2010,(746) 3528814,1993,0,5,3,1,4,4,6,7,2,5,3,6,2,2,79
Mallissa,Dampney,8898204949,1992,(154) 3089856,1994,3,2,6,3,3,2,6,1,3,7,7,6,6,7,65
Oriana,McGinlay,6430605191,2005,(413) 6472595,2010,0,0,0,4,5,7,6,1,1,3,1,3,7,8,71
Bevvy,Grandison,8242267308,2008,(864) 7304444,1995,0,6,5,1,2,6,4,7,5,7,0,7,2,1,72
Rene,Housecraft,9057955679,2011,(835) 6412687,1964,1,2,1,6,6,7,6,4,4,0,3,3,7,4,94
Marsha,Kett,0491559283,1992,(892) 1490027,1997,0,2,2,6,7,5,4,5,6,7,5,3,6,3,58
Liliane,Absolem,6003447567,2007,(246) 9141933,1995,3,5,2,3,1,2,0,0,3,6,7,1,6,5,51
Clerkclaude,Szach,5599998215,2007,(591) 2009801,1995,7,4,3,6,4,5,1,7,6,2,6,0,1,0,30
Maxy,Locksley,3479003974,2004,(922) 2143354,2009,6,1,3,1,3,0,0,6,3,5,1,1,8,4,72
Romona,Laste,4893743813,2002,(368) 4079095,1991,5,2,2,3,4,0,4,1,6,4,2,1,7,3,96
Valina,Rainger,8992985169,2002,(776) 5184670,1996,5,0,1,1,1,3,6,2,4,0,6,6,7,3,91
Charlton,Melross,6102422678,2011,(972) 6719281,2005,4,7,7,1,0,7,7,0,3,3,7,2,1,0,39
Xever,Burnyeat,9407852121,2010,(842) 4232831,1995,2,1,0,5,5,0,2,4,4,1,5,5,0,5,14
Vergil,Cleve,9716999488,1985,(792) 5683861,2001,1,4,5,7,0,0,6,2,5,0,4,6,7,8,15
Forrester,Benneton,5851432241,2010,(839) 7253852,2006,6,2,2,5,6,4,3,4,1,5,2,4,2,8,99
Lilli,Coot,1306036879,2008,(891) 6636400,2000,3,7,2,6,2,6,1,4,5,1,6,6,6,5,51
Viki,Shatliff,2037005318,2001,(785) 4940705,1995,3,1,4,6,0,2,6,5,5,6,4,5,8,2,95
Brade,Fellini,6471995202,2009,(675) 5940222,1994,5,2,5,4,2,3,3,4,7,2,3,7,3,2,60
Jacquelyn,Ringsell,3332267329,1997,(211) 1303892,2006,5,5,2,0,7,3,3,1,7,3,3,5,8,4,6
Archy,Stradling,7042097661,2012,(656) 3690762,1999,7,0,2,1,3,3,1,2,6,0,7,4,1,5,81
